lab,model,card,card_date,benchmark,x_kind,x_unit,x,y,y_metric,source_file,page,figure,confidence
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,2.642,54.8,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,4.123,60.6,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,6.648,68.2,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.124,10.1,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.157,17.0,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.431,40.4,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.268,49.1,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.848,52.0,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,4.859,67.6,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.037,8.1,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.049,12.2,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.121,22.1,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.537,36.0,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.07,45.9,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.696,50.7,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.271,14.6,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.536,42.5,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,2.59,46.3,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,2.894,49.9,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.422,26.1,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,0.91,38.6,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.233,44.0,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,API cost,USD,1.902,47.6,rubric score %,cards/openai/gpt-5-6.pdf,59,Figure 37,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,0.6,30.3,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,1.5,48.0,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,2.5,55.2,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,3.5,60.6,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,5.3,68.2,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,0.4,17.5,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,1.0,40.3,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,2.1,49.1,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,2.8,52.1,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Terra,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,6.3,67.6,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,0.3,12.2,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,0.3,8.1,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,0.7,22.2,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,1.9,35.9,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,3.1,46.4,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Luna,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,4.8,50.7,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,0.5,14.6,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,1.0,27.5,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,2.3,42.5,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,3.5,46.3,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.5,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,4.2,49.9,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,1.7,26.1,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,3.1,38.6,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,4.3,44.0,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.4 Thinking,GPT-5.6 system card,2026-07,Internal Research Debugging Eval,simulated latency,minutes,6.6,47.7,rubric score %,cards/openai/gpt-5-6.pdf,60,Figure 38,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,6.827,22.6,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
openai,GPT-5.6 Sol,GPT-5.6 system card,2026-07,KernelGen 1P,API cost,USD,14.819,32.1,rubric score %,cards/openai/gpt-5-6.pdf,61,Figure 39,chart
