Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-6 Astra,GPT-6 Astra,166.31,163.0,171.88,2026-09-03,OpenAI,United States of America,API access,Closed weights,
Claude Fable 5.1,Claude Fable 5.1,164.47,161.36,168.28,2026-09-01,Anthropic,United States of America,API access,Closed weights,
Claude Fable 5,Claude Fable 5,163.27,160.54,167.1,2026-06-09,Anthropic,United States of America,API access,Closed weights,
Claude Opus 5,Claude Opus 5,162.3,159.9,165.74,2026-07-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.5 Pro,GPT-5.5 Pro,162.25,159.32,165.76,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Sol,GPT-5.6 Sol,161.81,159.57,165.2,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Terra,GPT-5.6 Terra,159.14,157.01,161.84,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.5,GPT-5.5,159.12,156.91,161.95,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Pro,GPT-5.4 Pro,158.95,156.73,161.7,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.8,Claude Opus 4.8,158.3,156.43,160.71,2026-05-28,Anthropic,United States of America,API access,Closed weights,
Kimi K3,Kimi K3,157.63,155.38,160.45,2026-07-16,Moonshot,China,Open weights (non-commercial),Open weights,
Gemini 3.7 Flash,Gemini 3.7 Flash,157.44,155.66,159.78,2026-08-13,Google DeepMind,United States of America,API access,Closed weights,
GPT-5.4,GPT-5.4,156.86,155.21,159.0,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Qwen 3.8 Max,Qwen 3.8 Max,156.62,154.85,158.75,2026-08-02,Alibaba,China,API access,Closed weights,
GPT-5.3 Codex,GPT-5.3 Codex,156.58,153.91,159.73,2026-02-05,OpenAI,United States of America,API access,Closed weights,
Gemini 3.8 Flash,Gemini 3.8 Flash,156.54,154.58,161.97,2026-09-02,Google DeepMind,United States of America,API access,Closed weights,
Grok 4.6,Grok 4.6,156.35,154.77,158.88,2026-08-12,xAI,United States of America,API access,Closed weights,
Claude Opus 4.7,Claude Opus 4.7,156.34,154.57,158.5,2026-04-16,Anthropic,United States of America,API access,Closed weights,
GPT-5.6 Luna,GPT-5.6 Luna,156.31,154.06,158.86,2026-07-09,OpenAI,United States of America,API access,Closed weights,
Claude Sonnet 5,Claude Sonnet 5,156.22,153.63,158.63,2026-06-30,Anthropic,United States of America,API access,Closed weights,
Muse Spark 1.2,Muse Spark 1.2,155.48,153.9,158.64,2026-08-05,Meta AI,United States of America,API access,Closed weights,
DeepSeek V4 Pro 0813,DeepSeek V4 Pro 0813,155.47,153.78,157.83,2026-08-13,DeepSeek,China,Open weights (unrestricted),Open weights,
GPT-5.2 Pro,GPT-5.2 Pro,155.38,153.18,158.22,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.6,Claude Opus 4.6,155.34,153.7,157.21,2026-02-05,Anthropic,United States of America,API access,Closed weights,
GLM-5.3,GLM-5.3,155.25,153.18,157.53,2026-08-14,Z.ai (Zhipu AI),China,API access,Closed weights,
Qwen3.8 Max (0902),Qwen3.8 Max (0902),155.22,153.57,157.34,2026-09-01,Alibaba,China,API access,Closed weights,
Gemini 3.1 Pro,Gemini 3.1 Pro,155.0,152.72,157.6,2026-02-19,Google DeepMind,United States of America,API access,Closed weights,
Gemini 3.5 Flash,Gemini 3.5 Flash,154.69,152.78,157.03,2026-05-19,Google DeepMind,United States of America,API access,Closed weights,
Muse Spark 1.1,Muse Spark 1.1,154.62,152.58,157.88,2026-07-09,Meta AI,United States of America,API access,Closed weights,
DeepSeek V4 Flash 0731,DeepSeek V4 Flash 0731,154.49,152.4,156.51,2026-07-31,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 3.6 Flash,Gemini 3.6 Flash,154.33,152.86,156.24,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
Grok 4.5,Grok 4.5,153.92,152.49,156.04,2026-07-08,xAI,United States of America,API access,Closed weights,
Qwen3.7-Max,Qwen3.7-Max,153.73,151.88,155.88,2026-05-19,Alibaba,China,API access,Closed weights,
GPT-5.2,GPT-5.2,153.51,151.75,155.43,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3 Pro,Gemini 3 Pro,153.0,151.05,155.08,2025-11-18,Google DeepMind,United States of America,API access,Closed weights,
Claude Sonnet 4.6,Claude Sonnet 4.6,152.25,149.69,154.47,2026-02-17,Anthropic,United States of America,API access,Closed weights,
Muse Spark,Muse Spark,152.12,150.27,155.59,2026-04-08,Meta AI,United States of America,API access,Closed weights,
Grok 4.20,Grok 4.20,152.03,149.21,154.36,2026-02-17,xAI,United States of America,API access,Closed weights,
GLM-5.2,GLM-5.2,151.86,150.21,154.16,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Gemini 3 Flash,Gemini 3 Flash,151.84,150.57,153.61,2025-12-17,Google DeepMind,United States of America,API access,Closed weights,
GLM-5.3-Flash,GLM-5.3-Flash,151.45,149.28,153.78,2026-08-20,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Kimi K2.6,Kimi K2.6,151.0,149.14,152.7,2026-04-20,Moonshot,China,Open weights (unrestricted),Open weights,
GPT-5 Pro,GPT-5 Pro,150.29,148.83,152.9,2025-10-07,OpenAI,United States of America,API access,Closed weights,
Inkling-Small,Inkling-Small,150.15,147.34,152.09,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),Open weights,
Claude Opus 4.5,Claude Opus 4.5,150.11,148.12,152.85,2025-11-24,Anthropic,United States of America,API access,Closed weights,
Kimi K2.7 Code,Kimi K2.7 Code,150.07,148.68,151.93,2026-06-12,Moonshot,China,Open weights (unrestricted),Open weights,
GPT-5,GPT-5,150.0,,,2025-08-07,OpenAI,United States of America,API access,Closed weights,
GLM-5.1,GLM-5.1,149.71,147.97,151.41,2026-04-07,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
GPT-5.1,GPT-5.1,149.64,148.45,151.03,2025-11-13,OpenAI,United States of America,API access,Closed weights,
Qwen 3.6 Max (Preview),Qwen 3.6 Max (Preview),149.27,147.69,152.44,2026-04-20,Alibaba,China,Unknown,Other,
Grok 4.3 Beta,Grok 4.3 Beta,149.17,147.78,150.85,2026-04-17,xAI,United States of America,Hosted access (no API),Closed weights,
DeepSeek-V4-Pro,DeepSeek-V4-Pro,149.09,147.52,150.74,2026-04-24,DeepSeek,China,Open weights (unrestricted),Open weights,
GPT-5.4 Mini,GPT-5.4 Mini,148.96,147.33,150.68,2026-03-17,OpenAI,United States of America,API access,Closed weights,
Inkling,Inkling,148.64,145.95,150.6,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),Open weights,
Kimi K2.5,Kimi K2.5,148.01,146.58,149.35,2026-01-27,Moonshot,China,Open weights (unrestricted),Open weights,
Qwen 3.6 Plus,Qwen 3.6 Plus,147.67,145.74,149.56,2026-03-31,Alibaba,China,API access,Closed weights,
o3-pro,o3-pro,147.45,145.85,149.7,2025-06-10,OpenAI,United States of America,API access,Closed weights,
Qwen3.7-Plus,Qwen3.7-Plus,147.41,145.92,148.83,2026-06-02,Alibaba,China,API access,Closed weights,
Qwen3.5 397B-A17B,Qwen3.5 397B-A17B,146.96,145.43,148.62,2026-02-13,Alibaba,China,Open weights (unrestricted),Open weights,
o3,o3,146.91,145.23,148.66,2025-04-16,OpenAI,United States of America,API access,Closed weights,
Claude Sonnet 4.5,Claude Sonnet 4.5,146.84,145.46,148.5,2025-09-29,Anthropic,United States of America,API access,Closed weights,
